fips_code,Year,County_str,corn_acres_harvested_2022,corn_status,corn_acres_text,GovPayment_2022,govpay_status,govpay_1000_text,source_corn,source_govpay
39029,2022,COLUMBIANA,27424.0,observed,"27,424",1742000.0,observed,"1,742","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39031,2022,COSHOCTON,26012.0,observed,"26,012",1025000.0,observed,"1,025","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39033,2022,CRAWFORD,73816.0,observed,"73,816",2515000.0,observed,"2,515","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39035,2022,CUYAHOGA,,D_suppressed,(D),30000.0,observed,30,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39037,2022,DARKE,140854.0,observed,"140,854",2613000.0,observed,"2,613","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39039,2022,DEFIANCE,52277.0,observed,"52,277",4856000.0,observed,"4,856","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39041,2022,DELAWARE,29900.0,observed,"29,900",1078000.0,observed,"1,078","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39043,2022,ERIE,23665.0,observed,"23,665",1198000.0,observed,"1,198","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39045,2022,FAIRFIELD,59643.0,observed,"59,643",1204000.0,observed,"1,204","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39047,2022,FAYETTE,77261.0,observed,"77,261",2968000.0,observed,"2,968","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39049,2022,FRANKLIN,11727.0,observed,"11,727",353000.0,observed,353,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39051,2022,FULTON,82250.0,observed,"82,250",2103000.0,observed,"2,103","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39053,2022,GALLIA,4012.0,observed,"4,012",338000.0,observed,338,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39055,2022,GEAUGA,2855.0,observed,"2,855",253000.0,observed,253,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39057,2022,GREENE,50907.0,observed,"50,907",1622000.0,observed,"1,622","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39059,2022,GUERNSEY,3380.0,observed,"3,380",205000.0,observed,205,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39061,2022,HAMILTON,2285.0,observed,"2,285",20000.0,observed,20,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39063,2022,HANCOCK,68720.0,observed,"68,720",2179000.0,observed,"2,179","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39065,2022,HARDIN,81903.0,observed,"81,903",3293000.0,observed,"3,293","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39067,2022,HARRISON,3491.0,observed,"3,491",215000.0,observed,215,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39069,2022,HENRY,81311.0,observed,"81,311",3032000.0,observed,"3,032","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39071,2022,HIGHLAND,41102.0,observed,"41,102",3510000.0,observed,"3,510","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39073,2022,HOCKING,2242.0,observed,"2,242",331000.0,observed,331,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39075,2022,HOLMES,21694.0,observed,"21,694",612000.0,observed,612,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39077,2022,HURON,57818.0,observed,"57,818",1967000.0,observed,"1,967","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39079,2022,JACKSON,1395.0,observed,"1,395",264000.0,observed,264,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39081,2022,JEFFERSON,1937.0,observed,"1,937",166000.0,observed,166,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39083,2022,KNOX,45347.0,observed,"45,347",1319000.0,observed,"1,319","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39085,2022,LAKE,218.0,observed,218,39000.0,observed,39,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39087,2022,LAWRENCE,546.0,observed,546,213000.0,observed,213,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39089,2022,LICKING,46096.0,observed,"46,096",1608000.0,observed,"1,608","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39091,2022,LOGAN,67887.0,observed,"67,887",1670000.0,observed,"1,670","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39093,2022,LORAIN,18324.0,observed,"18,324",2575000.0,observed,"2,575","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39095,2022,LUCAS,27286.0,observed,"27,286",1630000.0,observed,"1,630","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39097,2022,MADISON,77844.0,observed,"77,844",4033000.0,observed,"4,033","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39099,2022,MAHONING,13475.0,observed,"13,475",351000.0,observed,351,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39101,2022,MARION,61042.0,observed,"61,042",3424000.0,observed,"3,424","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39103,2022,MEDINA,21519.0,observed,"21,519",497000.0,observed,497,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39105,2022,MEIGS,1555.0,observed,"1,555",410000.0,observed,410,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39107,2022,MERCER,101258.0,observed,"101,258",3101000.0,observed,"3,101","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39109,2022,MIAMI,62425.0,observed,"62,425",513000.0,observed,513,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39111,2022,MONROE,1014.0,observed,"1,014",518000.0,observed,518,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39113,2022,MONTGOMERY,39369.0,observed,"39,369",874000.0,observed,874,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39115,2022,MORGAN,4918.0,observed,"4,918",315000.0,observed,315,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39117,2022,MORROW,36152.0,observed,"36,152",1226000.0,observed,"1,226","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39119,2022,MUSKINGUM,24342.0,observed,"24,342",651000.0,observed,651,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39121,2022,NOBLE,462.0,observed,462,42000.0,observed,42,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39123,2022,OTTAWA,19369.0,observed,"19,369",3512000.0,observed,"3,512","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39125,2022,PAULDING,45346.0,observed,"45,346",2779000.0,observed,"2,779","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39127,2022,PERRY,12908.0,observed,"12,908",307000.0,observed,307,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39129,2022,PICKAWAY,96521.0,observed,"96,521",5386000.0,observed,"5,386","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39131,2022,PIKE,9247.0,observed,"9,247",1953000.0,observed,"1,953","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39133,2022,PORTAGE,14228.0,observed,"14,228",68000.0,observed,68,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39135,2022,PREBLE,79889.0,observed,"79,889",1126000.0,observed,"1,126","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39137,2022,PUTNAM,83381.0,observed,"83,381",3607000.0,observed,"3,607","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39139,2022,RICHLAND,41059.0,observed,"41,059",1162000.0,observed,"1,162","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39141,2022,ROSS,58401.0,observed,"58,401",6710000.0,observed,"6,710","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39143,2022,SANDUSKY,46201.0,observed,"46,201",2591000.0,observed,"2,591","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39145,2022,SCIOTO,7452.0,observed,"7,452",227000.0,observed,227,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39147,2022,SENECA,65707.0,observed,"65,707",3349000.0,observed,"3,349","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39149,2022,SHELBY,70057.0,observed,"70,057",1621000.0,observed,"1,621","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39151,2022,STARK,26418.0,observed,"26,418",640000.0,observed,640,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39153,2022,SUMMIT,939.0,observed,939,95000.0,observed,95,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39155,2022,TRUMBULL,22418.0,observed,"22,418",245000.0,observed,245,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39157,2022,TUSCARAWAS,20105.0,observed,"20,105",813000.0,observed,813,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39159,2022,UNION,51562.0,observed,"51,562",2925000.0,observed,"2,925","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39161,2022,VAN WERT,67448.0,observed,"67,448",1649000.0,observed,"1,649","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39163,2022,VINTON,877.0,observed,877,177000.0,observed,177,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39165,2022,WARREN,21201.0,observed,"21,201",816000.0,observed,816,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39167,2022,WASHINGTON,11992.0,observed,"11,992",529000.0,observed,529,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39169,2022,WAYNE,60714.0,observed,"60,714",2677000.0,observed,"2,677","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39171,2022,WILLIAMS,65712.0,observed,"65,712",3354000.0,observed,"3,354","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39173,2022,WOOD,73685.0,observed,"73,685",4654000.0,observed,"4,654","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39175,2022,WYANDOT,66496.0,observed,"66,496",2696000.0,observed,"2,696","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
